epoch,accuracy,loss,val_accuracy,val_loss
0,0.53125,1.65013587474823,0.875,0.2456439882516861
1,0.7083333,0.8593805432319641,0.875,0.3133673667907715
2,0.75,0.7508425911267599,0.875,0.3980378806591034
3,0.8229167,0.5521237055460612,0.875,0.28335773944854736
4,0.7916667,0.49470798174540204,0.875,0.21528227627277374
5,0.7708333,0.6042808294296265,0.875,0.22955095767974854
6,0.78125,0.5145447750886282,0.875,0.24432499706745148
7,0.7916667,0.43623389800389606,0.8333333134651184,0.28456568717956543
8,0.8229167,0.3830807606379191,0.875,0.2521229088306427
9,0.7916667,0.3970765968163808,0.875,0.24247099459171295
10,0.875,0.3688007990519206,0.875,0.2572736442089081
11,0.8020833,0.4120919903119405,0.875,0.22875599563121796
12,0.8333333,0.45500701665878296,0.875,0.21836604177951813
13,0.8333333,0.4119422932465871,0.875,0.21140754222869873
14,0.8020833,0.43017106254895526,0.875,0.2142881155014038
15,0.7916667,0.5304537415504456,0.875,0.21613414585590363
16,0.78125,0.40589504440625507,0.875,0.23028051853179932
17,0.8125,0.3860073983669281,0.875,0.24076521396636963
18,0.875,0.28740983704725903,0.875,0.24137534201145172
19,0.8645833,0.3079903721809387,0.875,0.23222418129444122
20,0.9270833,0.28506941596666974,0.875,0.21890771389007568
21,0.8541667,0.3387322425842285,0.875,0.21177224814891815
22,0.875,0.31067955493927,0.875,0.21132993698120117
23,0.84375,0.3494417766729991,0.875,0.21527381241321564
24,0.8333333,0.3572743187348048,0.875,0.2083263397216797
25,0.875,0.33042386174201965,0.875,0.20206010341644287
26,0.8333333,0.3393860161304474,0.875,0.19987963140010834
27,0.8541667,0.2939768930276235,0.875,0.2013871669769287
28,0.8854167,0.2735089063644409,0.875,0.20272763073444366
29,0.8229167,0.37912002205848694,0.9583333134651184,0.19603383541107178
30,0.8958333,0.29721228281656903,0.9583333134651184,0.195364847779274
31,0.875,0.34738298257191974,0.9166666865348816,0.19888585805892944
32,0.875,0.3091185788313548,0.9583333134651184,0.2047458440065384
33,0.9166667,0.2968583901723226,0.9583333134651184,0.2094271332025528
34,0.8541667,0.3829556703567505,0.9583333134651184,0.19686324894428253
35,0.8958333,0.2766120384136836,0.875,0.19043965637683868
36,0.9166667,0.24779131511847177,0.875,0.19559259712696075
37,0.875,0.2641469935576121,0.9583333134651184,0.17542041838169098
38,0.8958333,0.25492024421691895,0.9583333134651184,0.1720496267080307
39,0.8645833,0.2836793214082718,0.9583333134651184,0.1736312359571457
40,0.8854167,0.31369749704996747,0.9583333134651184,0.180794820189476
41,0.8958333,0.23496554791927338,0.9583333134651184,0.19194196164608002
42,0.8958333,0.2944093445936839,0.9583333134651184,0.1766289919614792
43,0.8541667,0.2843664636214574,0.9166666865348816,0.16559235751628876
